section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
signal_combination,HIGH_END_ROTATION,,,,strong rotation role: GP >= 50 and MPG >= 22; real role fallback: MPG >= 22; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,3.0%,
required_source_count,HIGH_END_ROTATION,,MINIMUM_LEVEL,HIGH_END_ROTATION,,6,18.2%,
required_source_count,HIGH_END_ROTATION,,LOW_END_STARTER,HIGH_END_ROTATION,,0,0.0%,
required_source_count,HIGH_END_ROTATION,,YOUNG_PROVEN_STARTER,HIGH_END_ROTATION,,0,0.0%,
focus_transition_count,HIGH_END_ROTATION,,MINIMUM_LEVEL,HIGH_END_ROTATION,,6,1.3%,6 of 460 current MINIMUM_LEVEL
focus_transition_count,HIGH_END_ROTATION,,LOW_ROTATION_PLUS,HIGH_END_ROTATION,,0,0.0%,0 of 10 current LOW_ROTATION_PLUS
focus_transition_count,HIGH_END_ROTATION,,SPECIALIST_ROTATION,HIGH_END_ROTATION,,3,33.3%,3 of 9 current SPECIALIST_ROTATION
focus_transition_count,HIGH_END_ROTATION,,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,,11,42.3%,11 of 26 current YOUNG_UPSIDE_SUSPECT
focus_transition_count,HIGH_END_ROTATION,,LOW_END_STARTER,HIGH_END_ROTATION,,0,0.0%,0 of 63 current LOW_END_STARTER
labeled_high_end_attribution_summary,HIGH_END_ROTATION,,,,,4,,improved 3; worsened 1; fixed severe 2; new severe 0; too_low fixed 3; too_high added 1
labeled_high_end_case,HIGH_END_ROTATION,,VETERAN_ROTATION_GUARD,HIGH_END_ROTATION,real role fallback: GP >= 55 and MPG >= 20; creator/scorer core; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,,boundary40 E-01; human $8.00M-$12.00M; current point 7.77; candidate point 14.82; too_high; candidate_1A HIGH_END_ROTATION: hard floor + real role + core identity + value/production support | core: creator/scorer core; portable shooting core | support: real role fallback: GP >= 55 and MPG >= 20; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER
labeled_high_end_case,HIGH_END_ROTATION,,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,real role fallback: GP >= 55 and MPG >= 20; portable shooting core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,,boundary40 E-02; human $20.00M-$30.00M; current point 5.73; candidate point 15.45; too_low; candidate_1A HIGH_END_ROTATION: hard floor + real role + core identity + value/production support | core: portable shooting core; young productive core | support: real role fallback: GP >= 55 and MPG >= 20; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER
labeled_high_end_case,HIGH_END_ROTATION,,YOUNG_UPSIDE_SUSPECT,HIGH_END_ROTATION,real role fallback: GP >= 55 and MPG >= 20; portable shooting core; young productive core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,,boundary40 E-04; human $12.00M-$18.00M; current point 5.6; candidate point 15.15; inside; candidate_1A HIGH_END_ROTATION: hard floor + real role + core identity + value/production support | core: portable shooting core; young productive core | support: real role fallback: GP >= 55 and MPG >= 20; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER
labeled_high_end_case,HIGH_END_ROTATION,,MINIMUM_LEVEL,HIGH_END_ROTATION,real role fallback: MPG >= 22; creator/scorer core; portable shooting core; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER,1,,boundary40 G-04; human $12.00M-$18.00M; current point 3.44; candidate point 15.51; inside; candidate_1A HIGH_END_ROTATION: hard floor + real role + core identity + value/production support | core: creator/scorer core; portable shooting core | support: real role fallback: MPG >= 22; value support: valueNoPot >= 55; value support: contractValue >= 55; production support: EWA/VORP/BPM/PER
