variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
C,all_active,C,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
C,all_active,C,SOLID_STARTER,10,0.015773,1.6%,29.6,33.409,59.311,63.022,62.503,19.594,8.458,3.858,4.325
C,all_active,C,LOW_END_STARTER,53,0.083596,8.4%,28.226,29.373,56.971,58.443,58.288,16.339,4.37,1.549,1.082
C,all_active,C,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
C,all_active,C,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
C,all_active,C,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
C,all_active,C,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
C,all_active,C,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
C,all_active,C,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
C,rostered_active,current,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
C,rostered_active,current,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
C,rostered_active,current,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
C,rostered_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
C,rostered_active,current,LOW_END_STARTER,58,0.126087,12.6%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
C,rostered_active,current,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
C,rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
C,rostered_active,current,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
C,rostered_active,current,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
C,rostered_active,current,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
C,rostered_active,current,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
C,rostered_active,C,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
C,rostered_active,C,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
C,rostered_active,C,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
C,rostered_active,C,SOLID_STARTER,8,0.017391,1.7%,29.75,33.341,59.162,62.844,62.311,19.675,8.576,3.769,4.105
C,rostered_active,C,LOW_END_STARTER,50,0.108696,10.9%,28.36,29.411,56.896,58.439,58.278,16.322,4.374,1.549,1.069
C,rostered_active,C,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
C,rostered_active,C,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
C,rostered_active,C,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
C,rostered_active,C,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
C,rostered_active,C,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
C,rostered_active,C,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
C,top15_roster_proxy,current,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
C,top15_roster_proxy,current,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
C,top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
C,top15_roster_proxy,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
C,top15_roster_proxy,current,LOW_END_STARTER,58,0.134571,13.5%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
C,top15_roster_proxy,current,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
C,top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
C,top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
C,top15_roster_proxy,current,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
C,top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
C,top15_roster_proxy,current,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
C,top15_roster_proxy,C,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
C,top15_roster_proxy,C,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
C,top15_roster_proxy,C,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
C,top15_roster_proxy,C,SOLID_STARTER,8,0.018561,1.9%,29.75,33.341,59.162,62.844,62.311,19.675,8.576,3.769,4.105
C,top15_roster_proxy,C,LOW_END_STARTER,50,0.116009,11.6%,28.36,29.411,56.896,58.439,58.278,16.322,4.374,1.549,1.069
C,top15_roster_proxy,C,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
C,top15_roster_proxy,C,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
C,top15_roster_proxy,C,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
C,top15_roster_proxy,C,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
C,top15_roster_proxy,C,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
C,top15_roster_proxy,C,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
C,contract_relevant,current,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
C,contract_relevant,current,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
C,contract_relevant,current,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
C,contract_relevant,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
C,contract_relevant,current,LOW_END_STARTER,18,0.055901,5.6%,29.889,30.085,56.672,59.525,59.167,17.077,5.089,2.108,2.072
C,contract_relevant,current,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
C,contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
C,contract_relevant,current,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
C,contract_relevant,current,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
C,contract_relevant,current,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
C,contract_relevant,current,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
C,contract_relevant,C,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
C,contract_relevant,C,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
C,contract_relevant,C,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
C,contract_relevant,C,SOLID_STARTER,4,0.012422,1.2%,29.25,33.719,59.79,63.79,63.247,19.535,8.404,3.673,4.06
C,contract_relevant,C,LOW_END_STARTER,14,0.043478,4.3%,30.071,29.047,55.781,58.307,58.001,16.375,4.142,1.66,1.504
C,contract_relevant,C,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
C,contract_relevant,C,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
C,contract_relevant,C,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
C,contract_relevant,C,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
C,contract_relevant,C,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
C,contract_relevant,C,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
