variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
B,rostered_active,current,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
B,rostered_active,current,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
B,rostered_active,B,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
B,rostered_active,B,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
B,rostered_active,B,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
B,rostered_active,B,SOLID_STARTER,15,0.032609,3.3%,29.733,32.533,58.57,62.238,61.691,19.425,7.589,3.267,3.81
B,rostered_active,B,LOW_END_STARTER,43,0.093478,9.3%,28.14,29.053,56.733,57.934,57.838,15.863,4.035,1.363,0.677
B,rostered_active,B,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
B,rostered_active,B,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
B,rostered_active,B,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
B,rostered_active,B,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
B,rostered_active,B,VETERAN_MINIMUM_PLUS,5,0.01087,1.1%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
B,rostered_active,B,MINIMUM_LEVEL,298,0.647826,64.8%,26.138,12.954,49.796,48.518,49.015,10.352,0.313,-0.153,-3.86
B,top15_roster_proxy,current,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
B,top15_roster_proxy,current,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
B,top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
B,top15_roster_proxy,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
B,top15_roster_proxy,current,LOW_END_STARTER,58,0.134571,13.5%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
B,top15_roster_proxy,current,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
B,top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
B,top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
B,top15_roster_proxy,current,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
B,top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
B,top15_roster_proxy,current,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
B,top15_roster_proxy,B,SUPERSTAR_MAX,3,0.006961,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
B,top15_roster_proxy,B,STAR_NEAR_MAX,17,0.039443,3.9%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
B,top15_roster_proxy,B,YOUNG_PROVEN_STARTER,24,0.055684,5.6%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
B,top15_roster_proxy,B,SOLID_STARTER,15,0.034803,3.5%,29.733,32.533,58.57,62.238,61.691,19.425,7.589,3.267,3.81
B,top15_roster_proxy,B,LOW_END_STARTER,43,0.099768,10.0%,28.14,29.053,56.733,57.934,57.838,15.863,4.035,1.363,0.677
B,top15_roster_proxy,B,SPECIALIST_ROTATION,7,0.016241,1.6%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
