variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
C,entrant_signal_pass_count,SOLID_STARTER,,,,production: BPM >= 1,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,production: EWA >= 5,9,90.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,production: VORP >= 1,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,production: PER >= 16,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: BPM >= 2,8,80.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: EWA >= 7,6,60.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: VORP >= 2,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: PER >= 18,5,50.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: defense/rebounding/connector support,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: shooting/spacing support,1,10.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,extra: age <= 27 with value/pot support,0,0.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,BPM<0 exception path,0,0.0%,
C,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.7; role: GS >= 55; value core: valueNoPot >= 61 and contractValue >= 61; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 2; extra: EWA >= 7; extra: VORP >= 2; extra: PER >= 18; extra: defense/rebounding/connector support,3,30.0%,
C,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.7; role: GS >= 55; role: MPG >= 32; value core: valueNoPot >= 61 and contractValue >= 61; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 2; extra: VORP >= 2; extra: defense/rebounding/connector support,2,20.0%,
C,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.7; role: GS >= 55; role: MPG >= 32; value core: valueNoPot >= 61 and contractValue >= 61; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 2; extra: EWA >= 7; extra: VORP >= 2; extra: PER >= 18; extra: defense/rebounding/connector support,1,10.0%,
C,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.7; role: GS >= 55; role: MPG >= 32; value core: valueNoPot >= 61 and contractValue >= 61; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: EWA >= 7; extra: VORP >= 2; extra: PER >= 18; extra: defense/rebounding/connector support,1,10.0%,
