variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
B,entrants_by_pool,SOLID_STARTER,rostered_active,,,,15,3.3%,
B,entrants_by_pool,SOLID_STARTER,top15_roster_proxy,,,,15,3.5%,
B,entrants_by_pool,SOLID_STARTER,contract_relevant,,,,5,1.6%,
B,focus_transition_count,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,,17,27.0%,17 of 63 current LOW_END_STARTER
B,focus_transition_count,SOLID_STARTER,,MINIMUM_LEVEL,SOLID_STARTER,,0,0.0%,0 of 460 current MINIMUM_LEVEL
B,focus_transition_count,SOLID_STARTER,,LOW_ROTATION_PLUS,SOLID_STARTER,,0,0.0%,0 of 10 current LOW_ROTATION_PLUS
B,focus_transition_count,SOLID_STARTER,,YOUNG_UPSIDE_SUSPECT,SOLID_STARTER,,0,0.0%,0 of 26 current YOUNG_UPSIDE_SUSPECT
B,focus_transition_count,SOLID_STARTER,,VETERAN_ROTATION_GUARD,SOLID_STARTER,,0,0.0%,0 of 14 current VETERAN_ROTATION_GUARD
B,focus_transition_count,SOLID_STARTER,,YOUNG_PROVEN_STARTER,SOLID_STARTER,,0,0.0%,0 of 24 current YOUNG_PROVEN_STARTER
B,entrant_signal_pass_count,SOLID_STARTER,,,,role: starterShare >= 0.65,17,100.0%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,role: GS >= 50,17,100.0%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,role: MPG >= 31,13,76.5%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,value core: valueNoPot >= 60 and contractValue >= 60,17,100.0%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,production: BPM >= 1,16,94.1%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,production: EWA >= 5,14,82.4%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,production: VORP >= 1,17,100.0%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,production: PER >= 16,16,94.1%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: BPM >= 1.5,14,82.4%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: EWA >= 6,13,76.5%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: VORP >= 1.5,16,94.1%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: PER >= 17,13,76.5%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: defense/rebounding/connector support,17,100.0%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: shooting/spacing support,3,17.6%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,extra: age <= 27 with value/pot support,3,17.6%,
B,entrant_signal_pass_count,SOLID_STARTER,,,,BPM<0 exception path,0,0.0%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: EWA >= 6; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support,6,35.3%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: EWA >= 6; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support,2,11.8%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: EWA >= 6; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support; extra: shooting/spacing support,2,11.8%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: VORP >= 1; extra: BPM >= 1.5; extra: VORP >= 1.5; extra: defense/rebounding/connector support; extra: shooting/spacing support,1,5.9%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; value core: valueNoPot >= 60 and contractValue >= 60; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: EWA >= 6; extra: PER >= 17; extra: defense/rebounding/connector support,1,5.9%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: EWA >= 6; extra: VORP >= 1.5; extra: defense/rebounding/connector support,1,5.9%,
