variant,pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
B,all_active,current,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
B,all_active,current,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
B,all_active,current,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
B,all_active,current,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
B,all_active,current,__TOTAL__,634,3.75,4.397,5.044,2377.252,2787.461,3197.67,92.915,0
B,all_active,B,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
B,all_active,B,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
B,all_active,B,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
B,all_active,B,SOLID_STARTER,17,12,14.5,17,204,246.503,289.005,8.217,246.503
B,all_active,B,LOW_END_STARTER,46,6,9,12,276,414,552,13.8,-153
B,all_active,B,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
B,all_active,B,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
B,all_active,B,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
B,all_active,B,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
B,all_active,B,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
B,all_active,B,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
B,all_active,B,__TOTAL__,634,3.91,4.544,5.178,2479.252,2880.963,3282.675,96.032,93.503
B,rostered_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
B,rostered_active,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
B,rostered_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
B,rostered_active,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
B,rostered_active,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
B,rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
B,rostered_active,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
B,rostered_active,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
B,rostered_active,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
B,rostered_active,current,MINIMUM_LEVEL,298,1.804,1.94,2.075,537.659,578.008,618.356,19.267,0
B,rostered_active,current,__TOTAL__,460,4.327,5.122,5.917,1990.543,2356.198,2721.853,78.54,0
B,rostered_active,B,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
B,rostered_active,B,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
B,rostered_active,B,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
B,rostered_active,B,SOLID_STARTER,15,12,14.5,17,180,217.502,255.005,7.25,217.502
B,rostered_active,B,LOW_END_STARTER,43,6,9,12,258,387,516,12.9,-135
B,rostered_active,B,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
B,rostered_active,B,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
B,rostered_active,B,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
B,rostered_active,B,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
B,rostered_active,B,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
B,rostered_active,B,MINIMUM_LEVEL,298,1.804,1.94,2.075,537.659,578.008,618.356,19.267,0
B,rostered_active,B,__TOTAL__,460,4.523,5.302,6.08,2080.543,2438.7,2796.857,81.29,82.502
B,top15_roster_proxy,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
B,top15_roster_proxy,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
B,top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
B,top15_roster_proxy,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
B,top15_roster_proxy,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
B,top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,2.5,3.5,4.5,62.496,87.496,112.496,2.917,0
B,top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
B,top15_roster_proxy,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
B,top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
B,top15_roster_proxy,current,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
B,top15_roster_proxy,current,__TOTAL__,431,4.517,5.356,6.195,1947.002,2308.575,2670.147,76.952,0
B,top15_roster_proxy,B,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
B,top15_roster_proxy,B,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
B,top15_roster_proxy,B,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
B,top15_roster_proxy,B,SOLID_STARTER,15,12,14.5,17,180,217.502,255.005,7.25,217.502
B,top15_roster_proxy,B,LOW_END_STARTER,43,6,9,12,258,387,516,12.9,-135
B,top15_roster_proxy,B,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
B,top15_roster_proxy,B,YOUNG_UPSIDE_SUSPECT,25,2.5,3.5,4.5,62.496,87.496,112.496,2.917,0
B,top15_roster_proxy,B,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
B,top15_roster_proxy,B,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
B,top15_roster_proxy,B,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
B,top15_roster_proxy,B,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
B,top15_roster_proxy,B,__TOTAL__,431,4.726,5.548,6.369,2037.002,2391.077,2745.152,79.703,82.502
B,contract_relevant,current,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
B,contract_relevant,current,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
B,contract_relevant,current,LOW_END_STARTER,18,6,9,12,108,162,216,5.4,0
B,contract_relevant,current,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
B,contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
B,contract_relevant,current,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
B,contract_relevant,current,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
B,contract_relevant,current,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
B,contract_relevant,current,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
B,contract_relevant,current,__TOTAL__,322,2.841,3.273,3.704,914.844,1053.83,1192.815,35.128,0
B,contract_relevant,B,STAR_NEAR_MAX,5,26.4,28.2,30,132.001,141.001,150,4.7,0
B,contract_relevant,B,YOUNG_PROVEN_STARTER,7,17,19.75,22.5,119.002,138.251,157.499,4.608,0
B,contract_relevant,B,SOLID_STARTER,5,12,14.5,17,60,72.501,85.002,2.417,72.501
B,contract_relevant,B,LOW_END_STARTER,13,6,9,12,78,117,156,3.9,-45
B,contract_relevant,B,SPECIALIST_ROTATION,6,3.5,4.5,5.5,21.001,27.001,33.001,0.9,0
B,contract_relevant,B,YOUNG_UPSIDE_SUSPECT,5,2.5,3.5,4.5,12.499,17.499,22.499,0.583,0
B,contract_relevant,B,VETERAN_ROTATION_GUARD,5,4,5,6,20,25,30,0.833,0
B,contract_relevant,B,LOW_ROTATION_PLUS,3,2,2.75,3.5,6,8.25,10.5,0.275,0
B,contract_relevant,B,VETERAN_MINIMUM_PLUS,3,2.326,2.913,3.5,6.977,8.739,10.5,0.291,0
B,contract_relevant,B,MINIMUM_LEVEL,270,1.812,1.948,2.085,489.363,526.089,562.815,17.536,0
B,contract_relevant,B,__TOTAL__,322,2.934,3.358,3.782,944.844,1081.33,1217.817,36.044,27.501
C,all_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
C,all_active,current,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
C,all_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
C,all_active,current,LOW_END_STARTER,63,6,9,12,378,567,756,18.9,0
C,all_active,current,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
C,all_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
C,all_active,current,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
C,all_active,current,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
C,all_active,current,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
C,all_active,current,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
C,all_active,current,__TOTAL__,634,3.75,4.397,5.044,2377.252,2787.461,3197.67,92.915,0
C,all_active,C,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
C,all_active,C,STAR_NEAR_MAX,19,25.705,27.458,29.211,488.404,521.703,555.001,17.39,0
C,all_active,C,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
C,all_active,C,SOLID_STARTER,10,12,14.5,17,120,145.002,170.003,4.833,145.002
C,all_active,C,LOW_END_STARTER,53,6,9,12,318,477,636,15.9,-90
C,all_active,C,SPECIALIST_ROTATION,9,3.5,4.5,5.5,31.501,40.501,49.501,1.35,0
C,all_active,C,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
C,all_active,C,VETERAN_ROTATION_GUARD,14,4,5,6,56,70,84,2.333,0
C,all_active,C,LOW_ROTATION_PLUS,10,2,2.75,3.5,20,27.501,35.002,0.917,0
C,all_active,C,VETERAN_MINIMUM_PLUS,6,2.362,2.931,3.5,14.174,17.587,21.001,0.586,0
C,all_active,C,MINIMUM_LEVEL,460,1.796,1.931,2.066,826.169,888.171,950.173,29.606,0
C,all_active,C,__TOTAL__,634,3.844,4.483,5.123,2437.252,2842.462,3247.673,94.749,55.002
C,rostered_active,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
C,rostered_active,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
C,rostered_active,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
C,rostered_active,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
C,rostered_active,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
C,rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
C,rostered_active,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
C,rostered_active,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
C,rostered_active,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
C,rostered_active,current,MINIMUM_LEVEL,298,1.804,1.94,2.075,537.659,578.008,618.356,19.267,0
C,rostered_active,current,__TOTAL__,460,4.327,5.122,5.917,1990.543,2356.198,2721.853,78.54,0
C,rostered_active,C,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
