variant,pool,currentTier,candidateTier,count,percentageOfCurrentTier,percentageOfCurrentTierText,moveDirection,moveSteps,focusTransition
C,top15_roster_proxy,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,25,1,100.0%,same,0,no
C,top15_roster_proxy,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,13,1,100.0%,same,0,no
C,top15_roster_proxy,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,9,1,100.0%,same,0,no
C,top15_roster_proxy,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,5,1,100.0%,same,0,no
C,top15_roster_proxy,MINIMUM_LEVEL,MINIMUM_LEVEL,270,1,100.0%,same,0,no
C,contract_relevant,STAR_NEAR_MAX,STAR_NEAR_MAX,5,1,100.0%,same,0,no
C,contract_relevant,YOUNG_PROVEN_STARTER,YOUNG_PROVEN_STARTER,7,1,100.0%,same,0,no
C,contract_relevant,LOW_END_STARTER,SOLID_STARTER,4,0.222222,22.2%,up,1,yes
C,contract_relevant,LOW_END_STARTER,LOW_END_STARTER,14,0.777778,77.8%,same,0,no
C,contract_relevant,SPECIALIST_ROTATION,SPECIALIST_ROTATION,6,1,100.0%,same,0,no
C,contract_relevant,YOUNG_UPSIDE_SUSPECT,YOUNG_UPSIDE_SUSPECT,5,1,100.0%,same,0,no
C,contract_relevant,VETERAN_ROTATION_GUARD,VETERAN_ROTATION_GUARD,5,1,100.0%,same,0,no
C,contract_relevant,LOW_ROTATION_PLUS,LOW_ROTATION_PLUS,3,1,100.0%,same,0,no
C,contract_relevant,VETERAN_MINIMUM_PLUS,VETERAN_MINIMUM_PLUS,3,1,100.0%,same,0,no
C,contract_relevant,MINIMUM_LEVEL,MINIMUM_LEVEL,270,1,100.0%,same,0,no
